word,EP,PC,NY
system,0.481481481481481,0.09375,0.125
equipment,0.351851851851852,0,0.0833333333333333
screen,0.444444444444444,0.09375,0.3125
cause,0.5,0.15625,0.104166666666667
ship,0.407407407407407,0.09375,0.0833333333333333
planet,0.37037037037037,0.0625,0.0833333333333333
online,0.296296296296296,0,0.166666666666667
build,0.296296296296296,0.03125,0.166666666666667
created,0.296296296296296,0.03125,0.125
checked,0.277777777777778,0.03125,0.333333333333333
person,0.648148148148148,0.40625,0.708333333333333
probably,0.648148148148148,0.40625,0.729166666666667
based,0.240740740740741,0,0.104166666666667
display,0.333333333333333,0.09375,0.166666666666667
case,0.518518518518518,0.28125,0.520833333333333
figure,0.518518518518518,0.28125,0.375
alien,0.296296296296296,0.0625,0.104166666666667
interesting,0.296296296296296,0.0625,0.208333333333333
supposed,0.574074074074074,0.34375,0.5
smaller,0.351851851851852,0.125,0.166666666666667
space,0.62962962962963,0.40625,0.395833333333333
data,0.222222222222222,0,0.0208333333333333
panel,0.222222222222222,0,0.0416666666666667
programmed,0.222222222222222,0,0.0416666666666667
experience,0.407407407407407,0.1875,0.291666666666667
private,0.277777777777778,0.0625,0.416666666666667
machine,0.37037037037037,0.15625,0.1875
research,0.37037037037037,0.15625,0.104166666666667
class,0.240740740740741,0.03125,0.354166666666667
exercise,0.240740740740741,0.03125,0.104166666666667
flush,0.240740740740741,0.03125,0.0625
lab,0.240740740740741,0.03125,0.0625
year,0.703703703703704,0.5,0.729166666666667
far,0.796296296296296,0.59375,0.75
huge,0.296296296296296,0.09375,0.416666666666667
test,0.388888888888889,0.1875,0.104166666666667
designed,0.259259259259259,0.0625,0.145833333333333
merely,0.259259259259259,0.0625,0.208333333333333
record,0.259259259259259,0.0625,0.229166666666667
field,0.351851851851852,0.15625,0.291666666666667
seems,0.351851851851852,0.15625,0.291666666666667
attention,0.537037037037037,0.34375,0.4375
results,0.222222222222222,0.03125,0.145833333333333
watch,0.685185185185185,0.5,0.666666666666667
hopes,0.185185185185185,0,0.0625
per,0.185185185185185,0,0.208333333333333
robot,0.185185185185185,0,0.0625
correct,0.277777777777778,0.09375,0.208333333333333
definitely,0.277777777777778,0.09375,0.1875
